split,features,model,fold,balanced_accuracy,auc
random,all,logistic regression,0,0.8666270360425101,0.9283129610427755
random,all,logistic regression,1,0.8723976262386839,0.9338784184379698
random,all,logistic regression,2,0.8742526158445441,0.9320769962083381
random,all,logistic regression,3,0.8731315396113601,0.9312283688703885
random,all,logistic regression,4,0.8619207772795217,0.9257354025484793
random,all,random forest,0,0.9779553082701393,0.9966831163769542
random,all,random forest,1,0.9787044373456444,0.9977253920207179
random,all,random forest,2,0.9786995515695067,0.9964168292143417
random,all,random forest,3,0.9816890881913304,0.9977583362938235
random,all,random forest,4,0.9783258594917787,0.9969256285735353
random,all,gradient boosting,0,0.982065502344335,0.9982543819828211
random,all,gradient boosting,1,0.9844943612559627,0.9982832778588351
random,all,gradient boosting,2,0.9815022421524664,0.9970360185538953
random,all,gradient boosting,3,0.9843049327354261,0.9984972718802576
random,all,gradient boosting,4,0.9822496263079223,0.9977367610225198
random,where,logistic regression,0,0.569745431520124,0.5409049741668077
random,where,logistic regression,1,0.5668144544151503,0.5271702198822612
random,where,logistic regression,2,0.5674514200298953,0.5421383900742022
random,where,logistic regression,3,0.5599775784753362,0.5282947464144553
random,where,logistic regression,4,0.5642750373692078,0.5305017081470458
random,where,random forest,0,0.9878568919874946,0.997677720804975
random,where,random forest,1,0.9878577295491182,0.9978528409811086
random,where,random forest,2,0.984118086696562,0.9967368973167904
random,where,random forest,3,0.9863602391629298,0.9955345472460737
random,where,random forest,4,0.9867339312406577,0.997055918075972
random,where,gradient boosting,0,0.976088034427133,0.9959012526013268
random,where,gradient boosting,1,0.9811325982892525,0.9961947481535953
random,where,gradient boosting,2,0.9751494768310911,0.9939046716536963
random,where,gradient boosting,3,0.976270553064275,0.9954606746342957
random,where,gradient boosting,4,0.9749626307922272,0.9960854498046077
random,when,logistic regression,0,0.8303871405255309,0.8875953214924455
random,when,logistic regression,1,0.8344708118149793,0.8915177621693515
random,when,logistic regression,2,0.8383781763826608,0.8954599903700278
random,when,logistic regression,3,0.8335201793721974,0.8898525843404586
random,when,logistic regression,4,0.828288490284006,0.8862407163492798
random,when,random forest,0,0.830951377872627,0.8791811076249936
random,when,random forest,1,0.8355897941441042,0.8870878987421499
random,when,random forest,2,0.8458520179372198,0.8952700721242469
random,when,random forest,3,0.8338938714499253,0.8892303926168723
random,when,random forest,4,0.8273542600896862,0.8814924809132163
random,when,gradient boosting,0,0.8376763695388888,0.8964015141997406
random,when,gradient boosting,1,0.8419400467806085,0.9009722275733103
random,when,gradient boosting,2,0.8492152466367713,0.9063474029238472
random,when,gradient boosting,3,0.8451046337817638,0.902768630979911
random,when,gradient boosting,4,0.8333333333333333,0.8941491355368317
random,how,logistic regression,0,0.6682154577023005,0.7404758075908768
random,how,logistic regression,1,0.677572765957922,0.7521141451315614
random,how,logistic regression,2,0.6793721973094171,0.7453689273640911
random,how,logistic regression,3,0.6752615844544096,0.7446843838046657
random,how,logistic regression,4,0.6857249626307922,0.751243126635252
random,how,random forest,0,0.8851127190433036,0.9589910983950645
random,how,random forest,1,0.8849245468652023,0.9569579175537839
random,how,random forest,2,0.8877055306427504,0.960411122729639
random,how,random forest,3,0.8927503736920777,0.9623818736440396
random,how,random forest,4,0.8821001494768311,0.9581804910392102
random,how,gradient boosting,0,0.8804455464894163,0.956634199986264
random,how,gradient boosting,1,0.8877227704528361,0.9560740806504839
random,how,gradient boosting,2,0.8897608370702541,0.9574182346093605
random,how,gradient boosting,3,0.8936846038863976,0.961026541633431
random,how,gradient boosting,4,0.8806053811659192,0.9535698765084535
temporal,all,logistic regression,0,0.868022117853145,0.9232432963845946
temporal,all,logistic regression,1,0.8652874313142693,0.930431556139221
temporal,all,logistic regression,2,0.8631296130489977,0.9198582677033454
temporal,all,logistic regression,3,0.8600407322419268,0.9288603183505117
temporal,all,logistic regression,4,0.8744473433674225,0.9356091507318967
temporal,all,random forest,0,0.9665112488465156,0.9954280264860118
temporal,all,random forest,1,0.9730951911470049,0.9966769428768214
temporal,all,random forest,2,0.9755261496729459,0.9958404561029397
temporal,all,random forest,3,0.9762630793396148,0.9958066793726832
temporal,all,random forest,4,0.9798372461813786,0.9972723833613919
temporal,all,gradient boosting,0,0.9691461087637999,0.9965299112738712
temporal,all,gradient boosting,1,0.978877025659989,0.9976339486956625
temporal,all,gradient boosting,2,0.9783337283835634,0.9977269954433817
temporal,all,gradient boosting,3,0.9813241665307435,0.9970171397162818
temporal,all,gradient boosting,4,0.9844927396636878,0.9973122377358805
temporal,where,logistic regression,0,0.5269027185364099,0.44156470572463397
temporal,where,logistic regression,1,0.52930912363236,0.49564871672125027
temporal,where,logistic regression,2,0.6208173184437087,0.538556762855116
temporal,where,logistic regression,3,0.561976184039128,0.5780304240577178
temporal,where,logistic regression,4,0.5756166609432714,0.6308990756018639
temporal,where,random forest,0,0.9801684478178199,0.994628198195984
temporal,where,random forest,1,0.9824362270761287,0.9961045967001801
temporal,where,random forest,2,0.9837444508006119,0.9961922322794846
temporal,where,random forest,3,0.9855987617219706,0.9971835989605793
temporal,where,random forest,4,0.9805726326780744,0.9960605591059218
temporal,where,gradient boosting,0,0.962612583425128,0.9923518121714106
temporal,where,gradient boosting,1,0.972710322033226,0.992791314917337
temporal,where,gradient boosting,2,0.9740354981248376,0.9961025433138377
temporal,where,gradient boosting,3,0.9790630020310263,0.9971779432563898
temporal,where,gradient boosting,4,0.972923384676377,0.9932632147613344
temporal,when,logistic regression,0,0.8400776325697061,0.896576302012928
temporal,when,logistic regression,1,0.8276421767392704,0.8855925587875002
temporal,when,logistic regression,2,0.8293305531847889,0.8892256122092019
temporal,when,logistic regression,3,0.825487870818689,0.8831163544531757
temporal,when,logistic regression,4,0.8419110277263603,0.8955017602930377
temporal,when,random forest,0,0.8342926152423042,0.8922666554204268
temporal,when,random forest,1,0.8319026890006195,0.8862616808334622
temporal,when,random forest,2,0.8310211029411559,0.8863894865826702
temporal,when,random forest,3,0.8247862842051403,0.8747092549105476
temporal,when,random forest,4,0.8435632742288074,0.896121701718973
temporal,when,gradient boosting,0,0.843642820914431,0.9054929036971826
temporal,when,gradient boosting,1,0.8350909860748881,0.8963415928442274
temporal,when,gradient boosting,2,0.839624194160348,0.89917794653728
temporal,when,gradient boosting,3,0.835058998071754,0.8883186946020283
temporal,when,gradient boosting,4,0.8523250944360222,0.9077746043179529
temporal,how,logistic regression,0,0.6035186579586511,0.6727050967809687
temporal,how,logistic regression,1,0.6626207464003007,0.7412682470692133
temporal,how,logistic regression,2,0.6665346808036019,0.7353717646014333
temporal,how,logistic regression,3,0.7020999559832602,0.772095230328204
temporal,how,logistic regression,4,0.7216818266844232,0.7885322701777603
temporal,how,random forest,0,0.8262503435316619,0.9214496002743785
temporal,how,random forest,1,0.8779759627174105,0.9538936297737873
temporal,how,random forest,2,0.8509354035640511,0.9339032107393358
temporal,how,random forest,3,0.8877609444160186,0.9597898284464325
temporal,how,random forest,4,0.8836279485955346,0.9588979951365099
